group_.one,group_.two,session_id,% Sessions,plptopdp,add_to_cart,%Plpconvertion,purchase,product_revenue,tasa_conversion,Ticket Promedio
mujer,moda,689986,0.126581,282645,69729,0.4096387462934031,4090,111141768,0.005392863043597986,27174.02640586797
tecnologia,computadores,343235,0.062968,46040,3940,0.13413550482905298,215,125291400,0.0006030853496875319,582750.6976744186
belleza,perfumes,268702,0.049295,54198,10049,0.2017030018384679,814,69468260,0.002951224776890384,85341.84275184275
belleza,marcas,252116,0.046252,22251,4564,0.08825699281283218,375,22409384,0.0014834441288930492,59758.35733333333
zapatos,tendencias,228602,0.041938,13672,1054,0.059807000813641174,35,1488633,0.000144355692426138,42532.37142857143
zapatos,ofertas,222452,0.04081,68551,10938,0.3081608616690342,625,30243829,0.0027781274162515957,48390.1264
sin_path1,sin_path2,191956,0.035215,173,25,0.0009012482027131218,1,26580,0.000005209527183312842,26580
zapatos,mujer,173545,0.031838,58079,10477,0.334662479472183,553,23550109,0.0030597251433345817,42586.09222423146
zapatos,zapatillas,170546,0.031287,46099,7775,0.27030830391800453,802,38861311,0.00455009205727487,48455.5
ninos,moda,166917,0.030622,90944,45121,0.5448456418459474,4676,107286418,0.025258062390289784,22944.05859709153
mujer,marcas,156275,0.028669,56996,11743,0.3647160454327308,637,19568981,0.003858582626779715,30720.535321821037
hombre,moda,145100,0.026619,48761,11221,0.3360509993108201,1490,46235762,0.009372846312887664,31030.712751677853
tecnologia,celulares,141988,0.026048,25755,3095,0.1813956108966955,255,111493560,0.001718455080711046,437229.64705882355
mujer,colecciones,137444,0.025215,15472,1952,0.11256948284392189,89,3207409,0.0005966066179680452,36038.30337078652
dormitorio,ropa-cama,125324,0.022991,36084,9045,0.28792569659442724,787,32315747,0.0057371293606970734,41061.94027954256
electro,television,121575,0.022304,19664,3219,0.16174377955994243,268,94482750,0.0021632736993625334,352547.5746268657
muebles,living-sala-estar,100717,0.018477,30722,3755,0.3050329140065729,133,35226400,0.0012708877349404768,264860.15037593985
zapatos,avance-temporada,98384,0.018049,24525,3396,0.24927833794112864,103,3570413,0.0009859326719791836,34664.203883495145
mujer,accesorios-moda,97773,0.017937,31627,6460,0.3234737606496681,223,5367820,0.0022194266310740186,24070.941704035875
